t,power_w,sm_mhz,temp_c,util_pct,throttle
47.9,53.10,1380,68,0,0x0000000000000000
48.2,52.92,1380,68,0,0x0000000000000000
48.5,52.79,1380,67,0,0x0000000000000000
48.9,52.71,1380,67,0,0x0000000000000000
49.2,52.64,1380,67,0,0x0000000000000000
49.5,52.44,1380,67,0,0x0000000000000000
49.9,52.44,1380,67,0,0x0000000000000000
50.2,52.35,1380,66,0,0x0000000000000000
50.6,52.23,1380,66,0,0x0000000000000000
50.9,51.49,1380,66,0,0x0000000000000000
51.2,51.38,1380,66,0,0x0000000000000000
51.5,51.29,1380,66,0,0x0000000000000000
51.9,51.28,1380,66,0,0x0000000000000000
52.2,51.20,1380,66,0,0x0000000000000000
52.5,51.07,1380,66,0,0x0000000000000000
52.9,51.09,1380,65,0,0x0000000000000000
53.2,50.97,1380,65,0,0x0000000000000000
53.5,50.91,1380,65,0,0x0000000000000000
53.9,50.91,1380,65,0,0x0000000000000000
54.2,50.88,1380,65,0,0x0000000000000000
54.5,51.58,1380,65,0,0x0000000000000000
54.9,51.45,1380,65,0,0x0000000000000000
55.2,51.49,1380,65,0,0x0000000000000000
55.5,51.26,1380,65,0,0x0000000000000000
55.9,51.17,1380,64,0,0x0000000000000000
56.2,51.20,1380,64,0,0x0000000000000000
56.5,51.20,1380,64,0,0x0000000000000000
56.9,51.10,1380,64,0,0x0000000000000000
57.2,51.08,1380,64,0,0x0000000000000000
57.5,51.01,1380,64,0,0x0000000000000000
57.9,51.09,1380,64,0,0x0000000000000000
58.2,50.81,1380,64,0,0x0000000000000000
58.5,50.78,1380,64,0,0x0000000000000000
58.9,50.70,1380,64,0,0x0000000000000000
59.2,50.78,1380,64,0,0x0000000000000000
59.5,50.68,1380,64,0,0x0000000000000000
59.9,50.68,1380,63,0,0x0000000000000000
60.2,50.59,1380,63,0,0x0000000000000000
60.5,50.49,1380,63,0,0x0000000000000000
60.9,50.43,1380,63,0,0x0000000000000000
61.2,50.52,1380,63,0,0x0000000000000000
61.5,50.39,1380,63,0,0x0000000000000000
61.9,50.33,1380,63,0,0x0000000000000000
62.2,50.30,1380,63,0,0x0000000000000000
62.5,50.33,1380,63,0,0x0000000000000000
62.9,50.20,1380,63,0,0x0000000000000000
63.2,50.14,1380,63,0,0x0000000000000000
63.5,50.04,1380,62,0,0x0000000000000000
63.9,50.02,1380,62,0,0x0000000000000000
64.2,50.04,1380,62,0,0x0000000000000000
64.5,50.01,1380,62,0,0x0000000000000000
64.9,49.94,1380,62,0,0x0000000000000000
65.2,49.93,1380,62,0,0x0000000000000000
65.5,49.85,1380,62,0,0x0000000000000000
65.9,49.92,1380,62,0,0x0000000000000000
66.2,49.82,1380,62,0,0x0000000000000000
66.5,49.66,1380,62,0,0x0000000000000000
66.9,49.65,1380,62,0,0x0000000000000000
67.2,49.64,1380,62,0,0x0000000000000000
67.5,49.56,1380,61,0,0x0000000000000000
67.9,49.56,1380,61,0,0x0000000000000000
68.2,49.53,1380,61,0,0x0000000000000000
68.5,48.86,1380,61,0,0x0000000000000000
68.9,48.77,1380,61,0,0x0000000000000000
69.2,48.67,1380,61,0,0x0000000000000000
69.5,48.76,1380,61,0,0x0000000000000000
69.9,48.69,1380,61,0,0x0000000000000000
