t,power_w,sm_mhz,temp_c,util_pct,throttle
0.0,42.15,1230,60,0,0x0000000000000000
0.4,42.15,1230,60,0,0x0000000000000000
0.7,42.06,1230,60,0,0x0000000000000000
1.0,42.04,1230,59,0,0x0000000000000000
1.4,42.06,1230,59,0,0x0000000000000000
1.7,42.06,1230,59,0,0x0000000000000000
2.0,41.96,1230,59,0,0x0000000000000000
2.4,219.12,1327,63,30,0x0000000000000004
2.7,212.57,1275,66,100,0x0000000000000000
3.1,229.97,1290,67,100,0x0000000000000000
3.4,147.25,1365,66,95,0x0000000000000000
3.7,214.24,1380,67,86,0x0000000000000000
4.1,222.44,1380,68,96,0x0000000000000000
4.4,222.14,1380,68,96,0x0000000000000000
4.7,228.91,1380,68,96,0x0000000000000000
5.0,219.94,1380,69,96,0x0000000000000000
5.4,221.44,1380,69,96,0x0000000000000000
5.7,222.96,1380,69,96,0x0000000000000000
6.0,223.77,1380,69,96,0x0000000000000000
6.4,219.52,1380,69,96,0x0000000000000000
6.7,220.88,1380,69,96,0x0000000000000000
7.0,215.39,1380,69,96,0x0000000000000000
7.4,223.67,1380,70,96,0x0000000000000000
7.7,224.83,1380,70,96,0x0000000000000000
8.0,222.46,1380,70,96,0x0000000000000000
8.4,223.02,1380,70,96,0x0000000000000000
8.7,222.10,1380,70,93,0x0000000000000000
9.0,223.11,1380,70,95,0x0000000000000000
9.4,223.46,1380,70,95,0x0000000000000000
9.7,226.79,1380,71,96,0x0000000000000000
10.0,221.34,1380,71,96,0x0000000000000000
10.3,222.70,1380,71,96,0x0000000000000000
10.7,224.10,1380,71,96,0x0000000000000000
11.0,225.18,1380,71,96,0x0000000000000000
11.3,229.05,1380,71,96,0x0000000000000000
11.7,222.05,1380,71,95,0x0000000000000000
12.0,224.18,1380,71,96,0x0000000000000000
12.3,220.68,1380,71,96,0x0000000000000000
12.7,227.42,1380,71,96,0x0000000000000000
13.0,222.08,1380,72,96,0x0000000000000000
13.3,133.93,1380,72,96,0x0000000000000000
13.7,53.50,1380,67,0,0x0000000000000000
14.0,51.09,1380,66,0,0x0000000000000000
14.3,50.62,1380,65,0,0x0000000000000000
14.7,50.52,1380,64,0,0x0000000000000000
15.0,50.13,1380,64,0,0x0000000000000000
15.3,50.04,1380,64,0,0x0000000000000000
15.7,49.94,1380,63,0,0x0000000000000000
16.0,49.84,1380,63,0,0x0000000000000000
16.3,49.65,1380,63,0,0x0000000000000000
16.6,49.56,1380,63,0,0x0000000000000000
17.0,49.56,1380,63,0,0x0000000000000000
17.3,49.46,1380,63,0,0x0000000000000000
17.6,244.22,1357,68,100,0x0000000000000004
18.0,235.16,1335,69,100,0x0000000000000000
18.3,221.67,1372,68,86,0x0000000000000004
18.6,202.09,1260,71,100,0x0000000000000000
19.0,255.62,1305,71,100,0x0000000000000004
19.3,260.59,1327,71,100,0x0000000000000004
19.6,193.94,1380,69,87,0x0000000000000000
20.0,225.69,1380,71,96,0x0000000000000000
20.3,225.05,1380,71,96,0x0000000000000000
20.6,222.15,1380,71,96,0x0000000000000000
21.0,224.98,1380,72,97,0x0000000000000000
21.3,225.37,1380,72,97,0x0000000000000000
21.6,226.68,1380,72,97,0x0000000000000000
22.0,226.18,1380,72,93,0x0000000000000000
22.3,227.09,1380,72,96,0x0000000000000000
22.6,207.35,1380,72,96,0x0000000000000000
23.0,219.45,1380,72,96,0x0000000000000000
23.3,223.83,1380,72,97,0x0000000000000000
23.6,225.22,1380,73,95,0x0000000000000000
23.9,227.21,1380,73,97,0x0000000000000000
24.3,227.32,1380,73,96,0x0000000000000000
24.6,221.87,1380,73,97,0x0000000000000000
24.9,223.59,1380,73,95,0x0000000000000000
25.3,223.80,1380,73,96,0x0000000000000000
25.6,226.68,1380,73,97,0x0000000000000000
25.9,229.39,1380,73,97,0x0000000000000000
26.3,222.03,1380,73,96,0x0000000000000000
26.6,225.74,1380,73,96,0x0000000000000000
26.9,222.54,1380,73,95,0x0000000000000000
27.3,224.41,1380,74,96,0x0000000000000000
27.6,227.05,1380,74,94,0x0000000000000000
27.9,223.37,1380,74,96,0x0000000000000000
28.3,224.06,1380,74,96,0x0000000000000000
28.6,227.61,1380,74,96,0x0000000000000000
28.9,228.91,1380,74,95,0x0000000000000000
29.3,233.67,1380,74,97,0x0000000000000000
29.6,56.01,1380,70,66,0x0000000000000000
29.9,54.58,1380,69,0,0x0000000000000000
30.3,54.18,1380,68,0,0x0000000000000000
30.6,53.70,1380,67,0,0x0000000000000000
30.9,53.64,1380,67,0,0x0000000000000000
31.3,53.29,1380,66,0,0x0000000000000000
31.6,51.49,1380,66,0,0x0000000000000000
31.9,51.20,1380,66,0,0x0000000000000000
32.3,44.84,1230,65,0,0x0000000000000000
32.6,44.84,1230,65,0,0x0000000000000000
32.9,44.84,1230,65,0,0x0000000000000000
33.3,44.74,1230,65,0,0x0000000000000000
33.6,60.94,1230,64,0,0x0000000000000000
33.9,242.85,1342,70,100,0x0000000000000000
34.2,208.53,1305,72,100,0x0000000000000000
34.6,213.76,1260,73,90,0x0000000000000000
34.9,262.23,1312,73,100,0x0000000000000004
35.2,217.47,1260,74,100,0x0000000000000000
35.6,258.98,1327,74,100,0x0000000000000004
35.9,164.45,1380,72,85,0x0000000000000000
36.2,224.98,1380,73,96,0x0000000000000000
36.6,226.91,1380,73,97,0x0000000000000000
36.9,226.59,1380,73,96,0x0000000000000000
37.2,228.49,1380,74,97,0x0000000000000000
37.6,222.50,1380,74,97,0x0000000000000000
37.9,222.66,1380,74,97,0x0000000000000000
38.2,223.18,1380,74,97,0x0000000000000000
38.6,226.42,1380,74,97,0x0000000000000000
38.9,227.24,1380,74,97,0x0000000000000000
39.2,235.33,1380,74,97,0x0000000000000000
39.6,224.43,1380,75,97,0x0000000000000000
39.9,227.48,1380,75,97,0x0000000000000000
40.2,229.65,1380,75,97,0x0000000000000000
40.6,225.60,1380,75,97,0x0000000000000000
40.9,225.76,1380,75,97,0x0000000000000000
41.2,227.17,1380,75,97,0x0000000000000000
41.6,228.27,1380,75,96,0x0000000000000000
41.9,229.36,1380,75,97,0x0000000000000000
42.2,234.40,1380,75,97,0x0000000000000000
42.5,224.28,1380,75,97,0x0000000000000000
42.9,220.53,1380,75,97,0x0000000000000000
43.2,228.91,1380,75,97,0x0000000000000000
43.5,226.43,1380,75,97,0x0000000000000000
43.9,228.28,1380,76,97,0x0000000000000000
44.2,233.07,1380,76,97,0x0000000000000000
44.5,225.70,1380,76,97,0x0000000000000000
44.9,228.41,1380,76,97,0x0000000000000000
45.2,229.18,1380,76,97,0x0000000000000000
45.5,232.06,1380,76,97,0x0000000000000000
45.9,56.75,1380,72,5,0x0000000000000000
46.2,53.89,1380,70,0,0x0000000000000000
46.5,53.97,1380,69,0,0x0000000000000000
46.9,53.66,1380,69,0,0x0000000000000000
47.2,53.38,1380,68,0,0x0000000000000000
47.5,53.21,1380,68,0,0x0000000000000000
